,actual,predicted,actual_return,predicted_change,position,strategy_return,position_change,transaction_costs,strategy_return_net,cumulative_market,cumulative_strategy
2018-04-18,77.84549713134766,76.77521,0.019026846696625466,-0.01374889558493693,0,0.0,0.0,0.0,0.0,2.8297677422870775,2.028054402106554
2018-04-19,76.37449645996094,78.15978,-0.018896413095091713,0.023375420231319773,1,-0.0,1.0,0.0005,-0.0005,2.776295282065656,2.027040374905501
2018-04-20,75.89299774169922,76.9534,-0.006304443768269441,0.013972328779434563,1,-0.006304443768269441,0.0,0.0,-0.006304443768269441,2.7587922845757613,2.014261012845897
2018-04-23,73.00450134277344,75.849,-0.03806011733462866,0.03896331908779805,1,-0.03806011733462866,0.0,0.0,-0.03806011733462866,2.6537923265229395,1.9375980023544144
2018-04-24,73.00849914550781,72.998184,5.476104433066453e-05,-0.00014128411797223852,0,5.476104433066453e-05,1.0,0.0005,-0.0004452389556693355,2.6539376509621766,1.9367353082433392
2018-04-25,75.89800262451172,73.55639,0.03957763154732241,-0.030852113211935983,0,0.0,0.0,0.0,0.0,2.758974217461524,1.9367353082433392
2018-04-26,78.63099670410156,77.27753,0.03600877473825914,-0.017212930083108213,0,0.0,0.0,0.0,0.0,2.858321498566761,1.9367353082433392
2018-04-27,78.30650329589844,78.06283,-0.004126787422321976,-0.0031118134724112635,0,-0.0,0.0,0.0,-0.0,2.846525813357523,1.9367353082433392
2018-04-30,79.11299896240234,78.477905,0.010299216955919732,-0.008027678097080678,0,0.0,0.0,0.0,0.0,2.875842800279918,1.9367353082433392
2018-05-01,78.48400115966797,79.22872,-0.007950625194139027,0.009488818714393964,0,-0.0,0.0,0.0,-0.0,2.852978052057629,1.9367353082433392
2018-05-02,78.60399627685547,78.20123,0.001528911821702117,-0.0051239553429398635,0,0.0,0.0,0.0,0.0,2.857340003928477,1.9367353082433392
2018-05-03,79.04750061035156,78.192726,0.005642261901468659,-0.010813428236157543,0,0.0,0.0,0.0,0.0,2.8734618645721848,1.9367353082433392
2018-05-04,80.00700378417969,79.21657,0.012138311349751518,-0.009879582456903893,0,0.0,0.0,0.0,0.0,2.9083408393359993,1.9367353082433392
2018-05-07,79.61949920654297,80.39232,-0.004843383195326512,0.009706410197810688,0,-0.0,0.0,0.0,-0.0,2.8942546301884775,1.9367353082433392
2018-05-08,80.4000015258789,79.64051,0.009802904151798408,-0.009446404880383147,0,0.0,0.0,0.0,0.0,2.922626730919114,1.9367353082433392
2018-05-09,80.4540023803711,80.38172,0.0006716524063099527,-0.0008984125295262794,0,0.0,0.0,0.0,0.0,2.9245897201956814,1.9367353082433392
2018-05-10,80.14550018310547,80.32823,-0.003834516470754168,0.002279998602547723,0,-0.0,0.0,0.0,-0.0,2.9133753327433927,1.9367353082433392
2018-05-11,80.0770034790039,80.107925,-0.0008546543966294617,0.0003861525118539675,0,-0.0,0.0,0.0,-0.0,2.9108854037062315,1.9367353082433392
2018-05-14,78.80599975585938,80.21594,-0.015872268790349864,0.017891310703767743,1,-0.0,1.0,0.0005,-0.0005,2.8646830481607,1.9357669405892175
2018-05-15,79.36399841308594,78.8915,0.007080662119067549,-0.0059535310992715335,0,0.007080662119067549,1.0,0.0005,0.0065806621190675485,2.884966900902947,1.9485055687664963
2018-05-16,79.08799743652344,79.69346,-0.003477659670395261,0.007655537378998829,0,-0.0,0.0,0.0,-0.0,2.8749339678612515,1.9485055687664963
2018-05-17,78.71849822998047,79.31863,-0.004672001043388829,0.0076237248845222785,0,-0.0,0.0,0.0,-0.0,2.8615022733637296,1.9485055687664963
